,model,dataset,n_classes_per_task,domain_inc,pretrained,task_idx,perf_metric,sim_metric,corr_value
59,resnet,cifar-100,20,False,False,2.0,all_transfers,kl_div,0.702345420354586
60,resnet,cifar-100,20,False,False,3.0,all_cl_accs,prototypes_sim,-0.9825475433528057
61,resnet,cifar-100,20,False,False,3.0,all_cl_accs,entropy_ratio,-0.9906783098334326
62,resnet,cifar-100,20,False,False,3.0,all_cl_accs,wass_dist,-0.9555119667578132
63,resnet,cifar-100,20,False,False,3.0,all_cl_accs,subspace_overlap,-0.8764779410799175
64,resnet,cifar-100,20,False,False,3.0,all_cl_accs,task2vec_final_layer,0.3907728698422998
65,resnet,cifar-100,20,False,False,3.0,all_cl_accs,trace_overlap,-0.6849577052014141
66,resnet,cifar-100,20,False,False,3.0,all_cl_accs,max_logit_ratio,0.9980046722738496
67,resnet,cifar-100,20,False,False,3.0,all_cl_accs,task2vec_all_layers,-0.9098108368181302
68,resnet,cifar-100,20,False,False,3.0,all_cl_accs,max_prob_ratio,0.9967902361298471
69,resnet,cifar-100,20,False,False,3.0,all_cl_accs,kl_div,-0.49665095108289575
70,resnet,cifar-100,20,False,False,3.0,all_fgts,prototypes_sim,-0.984789961379656
71,resnet,cifar-100,20,False,False,3.0,all_fgts,entropy_ratio,-0.9747741000340231
72,resnet,cifar-100,20,False,False,3.0,all_fgts,wass_dist,-0.7892913238321576
73,resnet,cifar-100,20,False,False,3.0,all_fgts,subspace_overlap,-0.9901373460165008
74,resnet,cifar-100,20,False,False,3.0,all_fgts,task2vec_final_layer,0.6912430148893665
75,resnet,cifar-100,20,False,False,3.0,all_fgts,trace_overlap,-0.898474514093002
76,resnet,cifar-100,20,False,False,3.0,all_fgts,max_logit_ratio,0.9557626456402641
77,resnet,cifar-100,20,False,False,3.0,all_fgts,task2vec_all_layers,-0.9978074911074882
78,resnet,cifar-100,20,False,False,3.0,all_fgts,max_prob_ratio,0.9039492504652424
79,resnet,cifar-100,20,False,False,3.0,all_fgts,kl_div,-0.7716763342501516
80,resnet,cifar-100,20,False,False,3.0,all_transfers,prototypes_sim,-0.8726011109146987
81,resnet,cifar-100,20,False,False,3.0,all_transfers,entropy_ratio,-0.8468575648748328
82,resnet,cifar-100,20,False,False,3.0,all_transfers,wass_dist,-0.5429916913064393
83,resnet,cifar-100,20,False,False,3.0,all_transfers,subspace_overlap,-0.9810291012956469
84,resnet,cifar-100,20,False,False,3.0,all_transfers,task2vec_final_layer,0.8906924517889108
85,resnet,cifar-100,20,False,False,3.0,all_transfers,trace_overlap,-0.9929449771189024
86,resnet,cifar-100,20,False,False,3.0,all_transfers,max_logit_ratio,0.8055383514870037
87,resnet,cifar-100,20,False,False,3.0,all_transfers,task2vec_all_layers,-0.963923645277896
88,resnet,cifar-100,20,False,False,3.0,all_transfers,max_prob_ratio,0.7126425601162536
89,resnet,cifar-100,20,False,False,3.0,all_transfers,kl_div,-0.938109553749041
90,resnet,cifar-100,20,False,False,4.0,all_cl_accs,prototypes_sim,-0.992890074174544
91,resnet,cifar-100,20,False,False,4.0,all_cl_accs,entropy_ratio,-0.6619161093880082
92,resnet,cifar-100,20,False,False,4.0,all_cl_accs,wass_dist,-0.44699144273810154
93,resnet,cifar-100,20,False,False,4.0,all_cl_accs,subspace_overlap,0.22294261561652168
94,resnet,cifar-100,20,False,False,4.0,all_cl_accs,task2vec_final_layer,-0.7628663613046772
95,resnet,cifar-100,20,False,False,4.0,all_cl_accs,trace_overlap,-0.9784459886290403
96,resnet,cifar-100,20,False,False,4.0,all_cl_accs,max_logit_ratio,0.631843381021922
97,resnet,cifar-100,20,False,False,4.0,all_cl_accs,task2vec_all_layers,0.7218453448449293
